date,longitude,latitude,garagecode,occupancy rate
2014-06-15,10.20596,56.14951,BRUUNS,0.09032528856243438
2014-06-15,10.206,56.15561,BUSGADEHUSET,1.1303076923076922
2014-06-15,10.20818,56.15441,SALLING,0.4457142857142857
2014-06-15,10.21149,56.14952,KALKVAERKSVEJ,0.14190476190476187
2014-06-15,10.21284,56.16184,NORREPORT,0.0
2014-06-15,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-16,10.197,56.1527,SCANDCENTER,0.3287466397849462
2014-06-16,10.2049,56.15679,MAGASIN,0.31958333333333333
2014-06-16,10.20596,56.14951,BRUUNS,0.22671825813221402
2014-06-16,10.206,56.15561,BUSGADEHUSET,0.9169871794871794
2014-06-16,10.20818,56.15441,SALLING,0.4457142857142857
2014-06-16,10.21149,56.14952,KALKVAERKSVEJ,0.27777777777777773
2014-06-16,10.21284,56.16184,NORREPORT,0.0
2014-06-16,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-17,10.197,56.1527,SCANDCENTER,0.3322748655913978
2014-06-17,10.2049,56.15679,MAGASIN,0.30026041666666664
2014-06-17,10.20596,56.14951,BRUUNS,0.20936079048618395
2014-06-17,10.206,56.15561,BUSGADEHUSET,0.6839743589743589
2014-06-17,10.20818,56.15441,SALLING,0.3763988095238095
2014-06-17,10.21149,56.14952,KALKVAERKSVEJ,0.2926587301587302
2014-06-17,10.21284,56.16184,NORREPORT,0.0
2014-06-17,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-18,10.197,56.1527,SCANDCENTER,0.2766862170087976
2014-06-18,10.2049,56.15679,MAGASIN,0.19136363636363637
2014-06-18,10.20596,56.14951,BRUUNS,0.09019364685681576
2014-06-18,10.206,56.15561,BUSGADEHUSET,0.45139860139860133
2014-06-18,10.20818,56.15441,SALLING,0.19506493506493505
2014-06-18,10.21149,56.14952,KALKVAERKSVEJ,0.22857142857142854
2014-06-18,10.21284,56.16184,NORREPORT,0.0
2014-06-18,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-19,10.197,56.1527,SCANDCENTER,0.508452807646356
2014-06-19,10.2049,56.15679,MAGASIN,0.6049074074074073
2014-06-19,10.20596,56.14951,BRUUNS,0.4061249076988846
2014-06-19,10.206,56.15561,BUSGADEHUSET,1.0131054131054131
2014-06-19,10.20818,56.15441,SALLING,0.5266137566137566
2014-06-19,10.21149,56.14952,KALKVAERKSVEJ,0.34779541446208107
2014-06-19,10.21284,56.16184,NORREPORT,0.0
2014-06-19,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-20,10.197,56.1527,SCANDCENTER,0.32221102150537634
2014-06-20,10.2049,56.15679,MAGASIN,0.3780208333333333
2014-06-20,10.20596,56.14951,BRUUNS,0.2994491080797481
2014-06-20,10.206,56.15561,BUSGADEHUSET,0.8240384615384615
2014-06-20,10.20818,56.15441,SALLING,0.3500595238095238
2014-06-20,10.21149,56.14952,KALKVAERKSVEJ,0.25575396825396823
2014-06-20,10.21284,56.16184,NORREPORT,0.0
2014-06-20,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-21,10.197,56.1527,SCANDCENTER,0.2220094086021505
2014-06-21,10.2049,56.15679,MAGASIN,0.26619791666666665
2014-06-21,10.20596,56.14951,BRUUNS,0.2817637285764253
2014-06-21,10.206,56.15561,BUSGADEHUSET,0.8104166666666667
2014-06-21,10.20818,56.15441,SALLING,0.2940178571428571
2014-06-21,10.21149,56.14952,KALKVAERKSVEJ,0.185515873015873
2014-06-21,10.21284,56.16184,NORREPORT,0.0
2014-06-21,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-22,10.197,56.1527,SCANDCENTER,0.15742607526881716
2014-06-22,10.2049,56.15679,MAGASIN,0.12197916666666668
2014-06-22,10.20596,56.14951,BRUUNS,0.1860571878279118
2014-06-22,10.206,56.15561,BUSGADEHUSET,0.7205128205128205
2014-06-22,10.20818,56.15441,SALLING,0.11770833333333329
2014-06-22,10.21149,56.14952,KALKVAERKSVEJ,0.2077380952380952
2014-06-22,10.21284,56.16184,NORREPORT,0.0
2014-06-22,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-23,10.197,56.1527,SCANDCENTER,0.31715389784946235
2014-06-23,10.2049,56.15679,MAGASIN,0.30890625
2014-06-23,10.20596,56.14951,BRUUNS,0.2780036726128016
2014-06-23,10.206,56.15561,BUSGADEHUSET,0.7237179487179487
2014-06-23,10.20818,56.15441,SALLING,0.3089583333333333
2014-06-23,10.21149,56.14952,KALKVAERKSVEJ,0.26240079365079366
2014-06-23,10.21284,56.16184,NORREPORT,0.0
2014-06-23,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-24,10.197,56.1527,SCANDCENTER,0.334190188172043
2014-06-24,10.2049,56.15679,MAGASIN,0.33432291666666664
2014-06-24,10.20596,56.14951,BRUUNS,0.23758307100384746
2014-06-24,10.206,56.15561,BUSGADEHUSET,0.8331730769230768
2014-06-24,10.20818,56.15441,SALLING,0.32032738095238095
2014-06-24,10.21149,56.14952,KALKVAERKSVEJ,0.2828373015873016
2014-06-24,10.21284,56.16184,NORREPORT,0.0
2014-06-24,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-25,10.197,56.1527,SCANDCENTER,0.34610215053763443
2014-06-25,10.2049,56.15679,MAGASIN,0.35942708333333334
2014-06-25,10.20596,56.14951,BRUUNS,0.22341727876880024
2014-06-25,10.206,56.15561,BUSGADEHUSET,0.9184294871794871
2014-06-25,10.20818,56.15441,SALLING,0.3100297619047619
2014-06-25,10.21149,56.14952,KALKVAERKSVEJ,0.2760912698412698
2014-06-25,10.21284,56.16184,NORREPORT,0.0
2014-06-25,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-26,10.197,56.1527,SCANDCENTER,0.3665658602150537
2014-06-26,10.2049,56.15679,MAGASIN,0.36942708333333335
2014-06-26,10.20596,56.14951,BRUUNS,0.27028681357117873
2014-06-26,10.206,56.15561,BUSGADEHUSET,0.9177884615384615
2014-06-26,10.20818,56.15441,SALLING,0.3206845238095238
2014-06-26,10.21149,56.14952,KALKVAERKSVEJ,0.2932539682539682
2014-06-26,10.21284,56.16184,NORREPORT,0.0
2014-06-26,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-27,10.197,56.1527,SCANDCENTER,0.3177251344086021
2014-06-27,10.2049,56.15679,MAGASIN,0.3594791666666666
2014-06-27,10.20596,56.14951,BRUUNS,0.24453480237845396
2014-06-27,10.206,56.15561,BUSGADEHUSET,1.4100961538461538
2014-06-27,10.20818,56.15441,SALLING,0.33157738095238093
2014-06-27,10.21149,56.14952,KALKVAERKSVEJ,0.23442460317460315
2014-06-27,10.21284,56.16184,NORREPORT,0.0
2014-06-27,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-28,10.197,56.1527,SCANDCENTER,0.14201948924731178
2014-06-28,10.2049,56.15679,MAGASIN,0.23791666666666667
2014-06-28,10.20596,56.14951,BRUUNS,0.2423268625393494
2014-06-28,10.206,56.15561,BUSGADEHUSET,1.6230769230769229
2014-06-28,10.20818,56.15441,SALLING,0.2533333333333333
2014-06-28,10.21149,56.14952,KALKVAERKSVEJ,0.1544642857142857
2014-06-28,10.21284,56.16184,NORREPORT,0.0
2014-06-28,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-29,10.197,56.1527,SCANDCENTER,0.10174731182795695
2014-06-29,10.2049,56.15679,MAGASIN,0.08552083333333334
2014-06-29,10.20596,56.14951,BRUUNS,0.15706977964323185
2014-06-29,10.206,56.15561,BUSGADEHUSET,0.7703525641025641
2014-06-29,10.20818,56.15441,SALLING,0.10755952380952376
2014-06-29,10.21149,56.14952,KALKVAERKSVEJ,0.1438492063492063
2014-06-29,10.21284,56.16184,NORREPORT,0.0
2014-06-29,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-30,10.197,56.1527,SCANDCENTER,0.2796706989247311
2014-06-30,10.2049,56.15679,MAGASIN,0.32625
2014-06-30,10.20596,56.14951,BRUUNS,0.2754459601259181
2014-06-30,10.206,56.15561,BUSGADEHUSET,0.5163461538461538
2014-06-30,10.20818,56.15441,SALLING,0.3306845238095238
2014-06-30,10.21149,56.14952,KALKVAERKSVEJ,0.24126984126984122
2014-06-30,10.21284,56.16184,NORREPORT,0.0
2014-06-30,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-01,10.197,56.1527,SCANDCENTER,0.31004704301075264
2014-07-01,10.2049,56.15679,MAGASIN,0.31723958333333335
2014-07-01,10.20596,56.14951,BRUUNS,0.30854319692200066
2014-07-01,10.206,56.15561,BUSGADEHUSET,0.919551282051282
2014-07-01,10.20818,56.15441,SALLING,0.33934523809523803
2014-07-01,10.21149,56.14952,KALKVAERKSVEJ,0.23521825396825394
2014-07-01,10.21284,56.16184,NORREPORT,0.0
2014-07-01,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-02,10.197,56.1527,SCANDCENTER,0.33699596774193546
2014-07-02,10.2049,56.15679,MAGASIN,0.34994791666666664
2014-07-02,10.20596,56.14951,BRUUNS,0.2543284365162644
2014-07-02,10.206,56.15561,BUSGADEHUSET,1.8887820512820512
2014-07-02,10.20818,56.15441,SALLING,0.34544642857142854
2014-07-02,10.21149,56.14952,KALKVAERKSVEJ,0.22132936507936504
2014-07-02,10.21284,56.16184,NORREPORT,0.0
2014-07-02,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-03,10.197,56.1527,SCANDCENTER,0.36433131720430106
2014-07-03,10.2049,56.15679,MAGASIN,0.3541666666666667
2014-07-03,10.20596,56.14951,BRUUNS,0.2651058062259531
2014-07-03,10.206,56.15561,BUSGADEHUSET,3.388141025641026
2014-07-03,10.20818,56.15441,SALLING,0.3333630952380952
2014-07-03,10.21149,56.14952,KALKVAERKSVEJ,0.2486111111111111
2014-07-03,10.21284,56.16184,NORREPORT,0.0
2014-07-03,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-04,10.197,56.1527,SCANDCENTER,0.2850638440860215
2014-07-04,10.2049,56.15679,MAGASIN,0.3355729166666667
2014-07-04,10.20596,56.14951,BRUUNS,0.2181269674711437
2014-07-04,10.206,56.15561,BUSGADEHUSET,4.6375
2014-07-04,10.20818,56.15441,SALLING,0.2813095238095238
2014-07-04,10.21149,56.14952,KALKVAERKSVEJ,0.21587301587301586
2014-07-04,10.21284,56.16184,NORREPORT,0.0
2014-07-04,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-05,10.197,56.1527,SCANDCENTER,0.2641969086021505
2014-07-05,10.2049,56.15679,MAGASIN,0.23895833333333336
2014-07-05,10.20596,56.14951,BRUUNS,0.18245015739769146
2014-07-05,10.206,56.15561,BUSGADEHUSET,4.897115384615385
2014-07-05,10.20818,56.15441,SALLING,0.21985119047619042
2014-07-05,10.21149,56.14952,KALKVAERKSVEJ,0.1573412698412698
2014-07-05,10.21284,56.16184,NORREPORT,0.0
2014-07-05,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-06,10.197,56.1527,SCANDCENTER,0.19178427419354835
2014-07-06,10.2049,56.15679,MAGASIN,0.11593750000000001
2014-07-06,10.20596,56.14951,BRUUNS,0.12075900664568028
2014-07-06,10.206,56.15561,BUSGADEHUSET,4.879647435897436
2014-07-06,10.20818,56.15441,SALLING,0.11374999999999996
2014-07-06,10.21149,56.14952,KALKVAERKSVEJ,0.14841269841269839
2014-07-06,10.21284,56.16184,NORREPORT,0.0
2014-07-06,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-07,10.197,56.1527,SCANDCENTER,0.2790322580645161
2014-07-07,10.2049,56.15679,MAGASIN,0.2754255319148936
2014-07-07,10.20596,56.14951,BRUUNS,0.2356500189770266
2014-07-07,10.206,56.15561,BUSGADEHUSET,2.290671031096563
2014-07-07,10.20818,56.15441,SALLING,0.30288753799392093
2014-07-07,10.21149,56.14952,KALKVAERKSVEJ,0.21053698074974667
2014-07-07,10.21284,56.16184,NORREPORT,0.0
2014-07-07,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-08,10.197,56.1527,SCANDCENTER,0.29826948924731184
2014-07-08,10.2049,56.15679,MAGASIN,0.2736458333333333
2014-07-08,10.20596,56.14951,BRUUNS,0.2409496327387198
2014-07-08,10.206,56.15561,BUSGADEHUSET,1.0724358974358974
2014-07-08,10.20818,56.15441,SALLING,0.29872023809523807
2014-07-08,10.21149,56.14952,KALKVAERKSVEJ,0.2163690476190476
2014-07-08,10.21284,56.16184,NORREPORT,0.0
2014-07-08,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-07-09,10.197,56.1527,SCANDCENTER,0.4012600806451612
2014-07-09,10.2049,56.15679,MAGASIN,0.2771875
2014-07-09,10.20596,56.14951,BRUUNS,0.20623469744665965
2014-07-09,10.206,56.15561,BUSGADEHUSET,1.3346153846153845
2014-07-09,10.20818,56.15441,SALLING,0.25845238095238093
2014-07-09,10.21149,56.14952,KALKVAERKSVEJ,0.20079365079365077
2014-07-09,10.21284,56.16184,NORREPORT,0.0
